Jaunciema 7.šķērslīnija;8
Jaunciema 7.šķērslīnija;2B
Jaunciema 7.šķērslīnija;2A
Jaunciema gatve;106A
Jaunciema gatve;106B
Jaunciema 9.šķērslīnija;16
Jaunciema 9.šķērslīnija;14
Jaunciema 9.šķērslīnija;12
Jaunciema 9.šķērslīnija;10
Jaunciema 10.šķērslīnija;16
Jaunciema 5.līnija;43A
Jaunciema 9.šķērslīnija;15
Jaunciema 10.šķērslīnija;20
Jaunciema 8.šķērslīnija;3
Jaunciema 7.šķērslīnija;6A
Jaunciema 5.līnija;16A
Jaunciema 5.līnija;18
Jaunciema gatve;136A
Jaunciema 7.šķērslīnija;1B
Jaunciema 7.šķērslīnija;01.marts
Jaunciema gatve;83A
Jaunciema gatve;116B
Jaunciema gatve;104
Jaunciema 10.šķērslīnija;7
Jaunciema 10.šķērslīnija;9
Jaunciema 8.šķērslīnija;4
Jaunciema 7.šķērslīnija;2
Jaunciema 7.šķērslīnija;6
Jaunciema 7.šķērslīnija;5
Jaunciema 6.šķērslīnija;8
Jaunciema 6.šķērslīnija;4
Jaunciema 6.šķērslīnija;6
Jaunciema 6.šķērslīnija;3
Jaunciema 6.šķērslīnija;5
Jaunciema 7.šķērslīnija;11A
Jaunciema 5.līnija;43B
Jaunciema 5.līnija;47
Jaunciema gatve;94B
Jaunciema gatve;94A
Jaunciema gatve;92A
Jaunciema 6.šķērslīnija;5A
Jaunciema 6.šķērslīnija;4A
Jaunciema 6.šķērslīnija;10A
Jaunciema 5.līnija;57A
Jaunciema 7.šķērslīnija;17
Jaunciema 7.šķērslīnija;15
Jaunciema 5.līnija;35
Jaunciema 5.līnija;33
Jaunciema 5.līnija;45
Jaunciema 5.līnija;46
Jaunciema 5.līnija;26
Jaunciema 5.līnija;10
Jaunciema 5.līnija;16
Jaunciema 5.līnija;59
Jaunciema 5.līnija;55
Jaunciema 5.līnija;57
Jaunciema 5.līnija;49
Jaunciema 5.līnija;53
Jaunciema 5.līnija;43
Jaunciema 5.līnija;24
Jaunciema 7.šķērslīnija;10
Jaunciema 7.šķērslīnija;13
Jaunciema 6.šķērslīnija;10
Jaunciema 6.šķērslīnija;12
Jaunciema 6.šķērslīnija;14
Jaunciema 6.šķērslīnija;16
Jaunciema 6.šķērslīnija;18
Jaunciema 6.šķērslīnija;22
Jaunciema gatve;85
Jaunciema gatve;83
Jaunciema gatve;136
Jaunciema gatve;124
Jaunciema gatve;120
Jaunciema gatve;118
Jaunciema gatve;116
Jaunciema gatve;114
Jaunciema gatve;92
Jaunciema gatve;96
Jaunciema gatve;98
Jaunciema gatve;100
Jaunciema gatve;102
Jaunciema gatve;94
Jaunciema gatve;80
Jaunciema gatve;78
Jaunciema gatve;88
Jaunciema gatve;106
Jaunciema 2.līnija;14B
Jaunciema 2.līnija;14A
Jaunciema 2.līnija;14C
Jaunciema gatve;202
Jaunciema gatve;167 k-1
Šalku iela;15
Jaunciema gatve;210
Jaunciema gatve;230
Jaunciema gatve;196
Jaunciema 3.līnija;69
Šalku iela;5
Mežvidu iela;13
Mežvidu iela;11
Mežvidu iela;13A
Jaunciema 2.līnija;20B
Jaunciema gatve;206A
Jaunciema gatve;206C
Mežvidu iela;8
Mežvidu iela;9
Jaunciema gatve;236A
Jaunciema gatve;226A
Jaunciema gatve;167G
Jaunciema 2.līnija;21A
Jaunciema 1.šķērslīnija;2E
Jaunciema 2.līnija;26B
Jaunciema 2.līnija;15B
Jaunciema 2.līnija;13
Jaunciema 2.līnija;16C
Mežvidu iela;5
Mežvidu iela;3
Mežvidu iela;1
Aveņu iela;5
Aveņu iela;3
Aveņu iela;1
Šalku iela;7
Šalku iela;9
Šalku iela;3
Jaunciema 2.līnija;9
Jaunciema 1.šķērslīnija;2
Jaunciema 2.līnija;20A
Mežvidu iela;3A
Jaunciema gatve;167C
Jaunciema gatve;167B
Jaunciema 1.šķērslīnija;2C
Jaunciema 1.šķērslīnija;2B
Jaunciema 1.šķērslīnija;2A
Jaunciema 3.līnija;59A
Jaunciema 2.līnija;28A
Jaunciema 2.līnija;16A
Jaunciema gatve;236
Jaunciema gatve;238
Jaunciema gatve;228
Jaunciema gatve;226
Jaunciema gatve;232
Šalku iela;11
Šalku iela;17
Šalku iela;19
Šalku iela;21
Jaunciema 3.līnija;39
Jaunciema 3.līnija;59
Jaunciema 3.līnija;61
Jaunciema 2.līnija;11
Jaunciema 2.līnija;15
Jaunciema 2.līnija;17
Jaunciema 2.līnija;19
Jaunciema 2.līnija;21
Jaunciema 2.līnija;16
Jaunciema 2.līnija;20
Jaunciema 2.līnija;22
Jaunciema 2.līnija;24
Jaunciema 2.līnija;28
Jaunciema 2.līnija;30
Jaunciema 2.līnija;26
Jaunciema gatve;190
Jaunciema gatve;194
Jaunciema gatve;200
Jaunciema gatve;198
Jaunciema gatve;206
Jaunciema gatve;208
Jaunciema gatve;214
Jaunciema gatve;240A
Jaunciema gatve;240B
Jaunciema gatve;240C
Jaunciema gatve;240D
Jaunciema gatve;240E
Jaunciema gatve;240F
Jaunciema gatve;240G
Jaunciema gatve;169
Jaunciema gatve;240
Jaunciema 5.šķērslīnija;2I
Jaunciema gatve;147F
Jaunciema gatve;147B
Jaunciema gatve;147D
Jaunciema gatve;147E
Gaileņu iela;2B
Gaileņu iela;2A
Jaunciema gatve;129
Steķu iela;1B
Gaileņu iela;1 k-1
Jaunciema 2.līnija;12
Jaunciema 3.līnija;15C
Jaunciema 4.šķērslīnija;6A
Jaunciema gatve;135C
Jaunciema gatve;135B
Jaunciema gatve;135A
